"FIPS","State","County, State","2015 Food Insecurity Rate","# of Food Insecure Persons in 2015","Low Threshold in state","Low Threshold Type","High Threshold in state","High Threshold Type","% FI ≤ Low Threshold","% FI Btwn Thresholds","% FI > High Threshold","2015 Child food insecurity rate","# of Food Insecure Children in 2015","% food insecure children in HH w/ HH incomes below 185 FPL in 2015","% food insecure children in HH w/ HH incomes above 185 FPL in 2015","2015 Cost Per Meal","2015 Weighted Annual Food Budget Shortfall"
"13127","GA","Glynn County, Georgia","16.2%","  13,220 ","130%","SNAP","185%","Other Nutrition Program","58.1%","18.4%","23.5%","24.4%","  4,650 ","77%","23%","$3.40","$8,060,000.00"
"13129","GA","Gordon County, Georgia","11.8%","  6,600 ","130%","SNAP","185%","Other Nutrition Program","77.4%","18.4%","4.2%","25.3%","  3,650 ","89%","11%","$2.81","$3,328,000.00"
"13131","GA","Grady County, Georgia","19.0%","  4,790 ","130%","SNAP","185%","Other Nutrition Program","75.4%","20.7%","3.9%","29.7%","  1,900 ","84%","16%","$2.82","$2,424,000.00"
"13133","GA","Greene County, Georgia","18.3%","  2,990 ","130%","SNAP","185%","Other Nutrition Program","65.7%","20.6%","13.6%","28.4%","  920 ","84%","16%","$3.07","$1,646,000.00"
"13135","GA","Gwinnett County, Georgia","11.0%","  94,680 ","130%","SNAP","185%","Other Nutrition Program","57.2%","22.1%","20.7%","19.6%","  47,350 ","71%","29%","$2.87","$48,742,000.00"
"13137","GA","Habersham County, Georgia","10.4%","  4,520 ","130%","SNAP","185%","Other Nutrition Program","74.0%","15.0%","11.0%","24.0%","  2,410 ","87%","13%","$2.93","$2,378,000.00"
"13139","GA","Hall County, Georgia","8.5%","  15,920 ","130%","SNAP","185%","Other Nutrition Program","82.8%","14.0%","3.2%","22.0%","  11,090 ","78%","22%","$2.86","$8,160,000.00"
"13141","GA","Hancock County, Georgia","25.9%","  2,300 ","130%","SNAP","185%","Other Nutrition Program","50.0%","26.5%","23.5%","30.2%","  450 ","78%","22%","$2.98","$1,228,000.00"
"13143","GA","Haralson County, Georgia","14.3%","  4,090 ","130%","SNAP","185%","Other Nutrition Program","70.2%","13.0%","16.8%","26.7%","  1,890 ","81%","19%","$2.93","$2,147,000.00"
"13145","GA","Harris County, Georgia","10.6%","  3,490 ","130%","SNAP","185%","Other Nutrition Program","41.6%","12.7%","45.8%","19.8%","  1,440 ","49%","51%","$3.16","$1,978,000.00"
"13147","GA","Hart County, Georgia","15.6%","  3,990 ","130%","SNAP","185%","Other Nutrition Program","69.9%","19.0%","11.1%","25.2%","  1,390 ","92%","8%","$2.87","$2,051,000.00"
"13149","GA","Heard County, Georgia","14.6%","  1,690 ","130%","SNAP","185%","Other Nutrition Program","72.2%","9.2%","18.7%","26.9%","  750 ","84%","16%","$3.00","$910,000.00"
"13151","GA","Henry County, Georgia","15.0%","  31,830 ","130%","SNAP","185%","Other Nutrition Program","44.1%","17.3%","38.6%","20.7%","  12,010 ","64%","36%","$2.89","$16,482,000.00"
"13153","GA","Houston County, Georgia","15.6%","  23,050 ","130%","SNAP","185%","Other Nutrition Program","53.2%","15.3%","31.4%","23.1%","  8,850 ","72%","28%","$2.90","$11,976,000.00"
"13155","GA","Irwin County, Georgia","19.1%","  1,800 ","130%","SNAP","185%","Other Nutrition Program","68.8%","18.0%","13.2%","28.1%","  600 ","89%","11%","$2.89","$932,000.00"
"13157","GA","Jackson County, Georgia","10.3%","  6,320 ","130%","SNAP","185%","Other Nutrition Program","61.3%","14.8%","23.9%","20.8%","  3,310 ","61%","39%","$3.28","$3,718,000.00"
"13159","GA","Jasper County, Georgia","15.1%","  2,060 ","130%","SNAP","185%","Other Nutrition Program","70.9%","17.9%","11.1%","25.2%","  830 ","91%","9%","$2.86","$1,055,000.00"
"13161","GA","Jeff Davis County, Georgia","13.8%","  2,070 ","130%","SNAP","185%","Other Nutrition Program","82.8%","16.6%","0.5%","25.8%","  1,060 ","93%","7%","$2.78","$1,032,000.00"
"13163","GA","Jefferson County, Georgia","24.4%","  3,990 ","130%","SNAP","185%","Other Nutrition Program","68.3%","25.8%","5.9%","31.0%","  1,240 ","79%","21%","$2.89","$2,067,000.00"
"13165","GA","Jenkins County, Georgia","21.4%","  1,910 ","130%","SNAP","185%","Other Nutrition Program","83.0%","15.7%","1.3%","33.1%","  750 ","80%","21%","$2.94","$1,007,000.00"
"13167","GA","Johnson County, Georgia","19.1%","  1,870 ","130%","SNAP","185%","Other Nutrition Program","56.0%","16.3%","27.7%","26.5%","  520 ","68%","32%","$2.80","$939,000.00"
"13169","GA","Jones County, Georgia","14.3%","  4,110 ","130%","SNAP","185%","Other Nutrition Program","54.0%","14.2%","31.8%","22.8%","  1,620 ","64%","36%","$2.63","$1,936,000.00"
"13171","GA","Lamar County, Georgia","18.5%","  3,350 ","130%","SNAP","185%","Other Nutrition Program","59.0%","19.8%","21.1%","26.1%","  990 ","87%","13%","$2.85","$1,709,000.00"
"13173","GA","Lanier County, Georgia","18.2%","  1,890 ","130%","SNAP","185%","Other Nutrition Program","68.8%","9.3%","21.9%","26.7%","  700 ","76%","24%","$2.93","$993,000.00"
"13175","GA","Laurens County, Georgia","20.9%","  10,000 ","130%","SNAP","185%","Other Nutrition Program","69.5%","15.1%","15.4%","28.2%","  3,350 ","81%","20%","$2.91","$5,213,000.00"
"13177","GA","Lee County, Georgia","13.0%","  3,760 ","130%","SNAP","185%","Other Nutrition Program","43.0%","19.7%","37.2%","21.5%","  1,680 ","67%","33%","$3.18","$2,144,000.00"
"13179","GA","Liberty County, Georgia","18.4%","  11,870 ","130%","SNAP","185%","Other Nutrition Program","53.8%","30.2%","16.0%","23.0%","  4,290 ","83%","17%","$2.82","$6,001,000.00"
"13181","GA","Lincoln County, Georgia","18.5%","  1,430 ","130%","SNAP","185%","Other Nutrition Program","62.2%","20.2%","17.6%","27.8%","  410 ","73%","27%","$3.06","$784,000.00"
"13183","GA","Long County, Georgia","14.5%","  2,410 ","130%","SNAP","185%","Other Nutrition Program","53.6%","28.4%","18.0%","22.6%","  1,100 ","83%","17%","$2.82","$1,220,000.00"
"13185","GA","Lowndes County, Georgia","20.5%","  23,240 ","130%","SNAP","185%","Other Nutrition Program","66.7%","19.3%","13.9%","25.4%","  7,100 ","80%","21%","$2.99","$12,457,000.00"
"13187","GA","Lumpkin County, Georgia","12.9%","  3,990 ","130%","SNAP","185%","Other Nutrition Program","72.7%","4.8%","22.5%","24.1%","  1,440 ","74%","26%","$2.97","$2,125,000.00"
"13189","GA","McDuffie County, Georgia","21.3%","  4,610 ","130%","SNAP","185%","Other Nutrition Program","61.3%","20.4%","18.3%","28.8%","  1,600 ","76%","24%","$2.80","$2,311,000.00"
"13191","GA","McIntosh County, Georgia","17.2%","  2,420 ","130%","SNAP","185%","Other Nutrition Program","58.8%","10.4%","30.8%","26.8%","  710 ","67%","33%","$3.08","$1,337,000.00"
"13193","GA","Macon County, Georgia","24.9%","  3,490 ","130%","SNAP","185%","Other Nutrition Program","57.5%","22.5%","19.9%","26.3%","  730 ","82%","18%","$2.92","$1,829,000.00"
"13195","GA","Madison County, Georgia","12.7%","  3,590 ","130%","SNAP","185%","Other Nutrition Program","74.5%","21.8%","3.7%","24.0%","  1,580 ","96%","4%","$3.14","$2,019,000.00"
"13197","GA","Marion County, Georgia","17.5%","  1,530 ","130%","SNAP","185%","Other Nutrition Program","58.8%","32.0%","9.1%","26.0%","  520 ","86%","14%","$2.85","$782,000.00"
"13199","GA","Meriwether County, Georgia","20.0%","  4,260 ","130%","SNAP","185%","Other Nutrition Program","61.7%","25.4%","12.9%","26.2%","  1,250 ","81%","19%","$2.46","$1,876,000.00"
"13201","GA","Miller County, Georgia","19.4%","  1,150 ","130%","SNAP","185%","Other Nutrition Program","63.5%","15.4%","21.1%","28.2%","  390 ","81%","19%","$2.98","$615,000.00"
"13205","GA","Mitchell County, Georgia","21.5%","  4,940 ","130%","SNAP","185%","Other Nutrition Program","61.9%","23.2%","14.9%","27.1%","  1,490 ","83%","18%","$2.79","$2,471,000.00"
"13207","GA","Monroe County, Georgia","13.8%","  3,700 ","130%","SNAP","185%","Other Nutrition Program","58.1%","20.0%","21.9%","19.7%","  1,140 ","74%","26%","$2.75","$1,825,000.00"
"13209","GA","Montgomery County, Georgia","18.3%","  1,640 ","130%","SNAP","185%","Other Nutrition Program","60.5%","12.0%","27.4%","28.1%","  550 ","76%","24%","$2.77","$814,000.00"
"13211","GA","Morgan County, Georgia","13.4%","  2,390 ","130%","SNAP","185%","Other Nutrition Program","52.2%","21.1%","26.7%","21.7%","  920 ","62%","38%","$2.97","$1,271,000.00"
"13213","GA","Murray County, Georgia","12.2%","  4,820 ","130%","SNAP","185%","Other Nutrition Program","79.0%","20.0%","1.0%","25.1%","  2,540 ","88%","12%","$3.26","$2,820,000.00"
"13215","GA","Muscogee County, Georgia","20.7%","  41,540 ","130%","SNAP","185%","Other Nutrition Program","53.2%","21.4%","25.5%","24.9%","  12,310 ","73%","27%","$3.25","$24,236,000.00"
"13217","GA","Newton County, Georgia","17.3%","  17,790 ","130%","SNAP","185%","Other Nutrition Program","51.0%","22.1%","26.8%","22.2%","  6,260 ","72%","28%","$2.81","$8,973,000.00"
"13219","GA","Oconee County, Georgia","8.1%","  2,800 ","130%","SNAP","185%","Other Nutrition Program","43.8%","15.5%","40.7%","18.5%","  1,730 ","50%","50%","$3.29","$1,651,000.00"
"13221","GA","Oglethorpe County, Georgia","13.1%","  1,920 ","130%","SNAP","185%","Other Nutrition Program","65.2%","25.3%","9.5%","24.1%","  790 ","92%","8%","$3.12","$1,074,000.00"
"13223","GA","Paulding County, Georgia","11.4%","  16,780 ","130%","SNAP","185%","Other Nutrition Program","49.3%","19.5%","31.1%","20.6%","  8,620 ","65%","35%","$2.91","$8,770,000.00"
"13225","GA","Peach County, Georgia","19.6%","  5,320 ","130%","SNAP","185%","Other Nutrition Program","51.3%","18.4%","30.2%","25.4%","  1,520 ","74%","26%","$3.00","$2,866,000.00"
"13227","GA","Pickens County, Georgia","10.0%","  2,970 ","130%","SNAP","185%","Other Nutrition Program","62.2%","22.7%","15.0%","23.4%","  1,420 ","85%","15%","$3.15","$1,678,000.00"
"13229","GA","Pierce County, Georgia","14.3%","  2,710 ","130%","SNAP","185%","Other Nutrition Program","75.1%","6.4%","18.5%","26.6%","  1,290 ","77%","23%","$2.72","$1,321,000.00"
"13231","GA","Pike County, Georgia","11.2%","  2,000 ","130%","SNAP","185%","Other Nutrition Program","53.5%","24.5%","22.0%","21.8%","  990 ","82%","18%","$2.89","$1,035,000.00"
"13233","GA","Polk County, Georgia","13.8%","  5,690 ","130%","SNAP","185%","Other Nutrition Program","73.3%","15.2%","11.5%","25.7%","  2,790 ","83%","17%","$2.70","$2,756,000.00"
"13235","GA","Pulaski County, Georgia","17.8%","  2,070 ","130%","SNAP","185%","Other Nutrition Program","54.8%","25.0%","20.2%","26.7%","  580 ","93%","7%","$2.88","$1,068,000.00"
"13237","GA","Putnam County, Georgia","15.5%","  3,290 ","130%","SNAP","185%","Other Nutrition Program","58.7%","18.7%","22.7%","23.9%","  970 ","78%","22%","$2.87","$1,694,000.00"
"13239","GA","Quitman County, Georgia","20.6%","  480 ","130%","SNAP","185%","Other Nutrition Program","68.6%","18.8%","12.7%","28.1%","  130 ","80%","20%","$3.00","$258,000.00"
"13241","GA","Rabun County, Georgia","12.8%","  2,080 ","130%","SNAP","185%","Other Nutrition Program","81.8%","9.2%","9.0%","27.5%","  810 ","92%","8%","$2.91","$1,084,000.00"
"13243","GA","Randolph County, Georgia","26.0%","  1,900 ","130%","SNAP","185%","Other Nutrition Program","66.3%","18.4%","15.3%","32.2%","  550 ","74%","26%","$3.04","$1,034,000.00"
"13245","GA","Richmond County, Georgia","23.2%","  46,700 ","130%","SNAP","185%","Other Nutrition Program","57.1%","21.2%","21.7%","27.2%","  13,110 ","74%","26%","$2.81","$23,519,000.00"
"13247","GA","Rockdale County, Georgia","17.1%","  14,860 ","130%","SNAP","185%","Other Nutrition Program","49.7%","24.1%","26.2%","21.1%","  4,760 ","68%","32%","$2.85","$7,605,000.00"
"13249","GA","Schley County, Georgia","17.3%","  880 ","130%","SNAP","185%","Other Nutrition Program","65.7%","21.0%","13.3%","26.8%","  390 ","84%","16%","$2.91","$459,000.00"
"13251","GA","Screven County, Georgia","20.9%","  2,970 ","130%","SNAP","185%","Other Nutrition Program","63.5%","20.0%","16.4%","27.4%","  900 ","78%","22%","$2.96","$1,575,000.00"
"13253","GA","Seminole County, Georgia","17.5%","  1,530 ","130%","SNAP","185%","Other Nutrition Program","53.9%","36.5%","9.6%","25.5%","  500 ","92%","8%","$3.06","$840,000.00"
"13255","GA","Spalding County, Georgia","19.3%","  12,360 ","130%","SNAP","185%","Other Nutrition Program","60.1%","24.9%","15.0%","26.8%","  4,210 ","84%","16%","$2.97","$6,575,000.00"
"13257","GA","Stephens County, Georgia","14.5%","  3,710 ","130%","SNAP","185%","Other Nutrition Program","72.9%","20.8%","6.2%","25.1%","  1,440 ","99%","1%","$2.87","$1,912,000.00"
"13259","GA","Stewart County, Georgia","21.0%","  1,230 ","130%","SNAP","185%","Other Nutrition Program","58.2%","12.3%","29.5%","32.4%","  280 ","75%","25%","$3.10","$683,000.00"
"13261","GA","Sumter County, Georgia","24.4%","  7,670 ","130%","SNAP","185%","Other Nutrition Program","64.1%","20.2%","15.6%","31.4%","  2,430 ","78%","22%","$3.01","$4,140,000.00"
"13263","GA","Talbot County, Georgia","20.1%","  1,310 ","130%","SNAP","185%","Other Nutrition Program","58.6%","30.7%","10.6%","21.4%","  260 ","100%","0%","$3.08","$724,000.00"
"13265","GA","Taliaferro County, Georgia","23.6%","  410 ","130%","SNAP","185%","Other Nutrition Program","65.6%","27.1%","7.4%","30.5%","  70 ","65%","35%","$3.10","$228,000.00"
"13267","GA","Tattnall County, Georgia","17.5%","  4,420 ","130%","SNAP","185%","Other Nutrition Program","56.0%","12.1%","31.9%","27.6%","  1,480 ","82%","18%","$2.77","$2,198,000.00"
"13269","GA","Taylor County, Georgia","21.8%","  1,830 ","130%","SNAP","185%","Other Nutrition Program","72.4%","18.0%","9.6%","30.7%","  570 ","82%","18%","$2.91","$954,000.00"
"13271","GA","Telfair County, Georgia","20.4%","  3,350 ","130%","SNAP","185%","Other Nutrition Program","59.1%","15.0%","25.8%","31.6%","  920 ","89%","11%","$2.83","$1,699,000.00"
"13273","GA","Terrell County, Georgia","26.4%","  2,440 ","130%","SNAP","185%","Other Nutrition Program","68.9%","16.3%","14.9%","32.2%","  730 ","71%","30%","$2.91","$1,273,000.00"
"13275","GA","Thomas County, Georgia","20.0%","  8,960 ","130%","SNAP","185%","Other Nutrition Program","62.0%","21.6%","16.4%","25.1%","  2,740 ","79%","21%","$2.84","$4,568,000.00"
"13277","GA","Tift County, Georgia","18.7%","  7,610 ","130%","SNAP","185%","Other Nutrition Program","70.5%","9.9%","19.6%","27.7%","  2,840 ","76%","24%","$3.04","$4,154,000.00"
"13279","GA","Toombs County, Georgia","18.0%","  4,910 ","130%","SNAP","185%","Other Nutrition Program","72.1%","18.4%","9.5%","26.9%","  2,020 ","84%","17%","$2.82","$2,484,000.00"
"13281","GA","Towns County, Georgia","13.0%","  1,410 ","130%","SNAP","185%","Other Nutrition Program","62.0%","21.1%","16.9%","28.4%","  440 ","100%","0%","$3.01","$760,000.00"
"13283","GA","Treutlen County, Georgia","18.1%","  1,220 ","130%","SNAP","185%","Other Nutrition Program","54.7%","20.0%","25.3%","26.3%","  370 ","76%","25%","$2.82","$618,000.00"
"13285","GA","Troup County, Georgia","18.8%","  12,920 ","130%","SNAP","185%","Other Nutrition Program","58.3%","22.3%","19.4%","25.4%","  4,480 ","78%","23%","$2.77","$6,416,000.00"
"13287","GA","Turner County, Georgia","19.4%","  1,620 ","130%","SNAP","185%","Other Nutrition Program","67.9%","17.1%","15.0%","27.9%","  590 ","75%","25%","$2.94","$853,000.00"
"13289","GA","Twiggs County, Georgia","21.5%","  1,830 ","130%","SNAP","185%","Other Nutrition Program","69.9%","15.2%","14.9%","26.6%","  440 ","77%","23%","$2.84","$931,000.00"
"13291","GA","Union County, Georgia","10.4%","  2,260 ","130%","SNAP","185%","Other Nutrition Program","66.9%","9.5%","23.6%","23.9%","  870 ","66%","34%","$3.15","$1,276,000.00"
"13293","GA","Upson County, Georgia","18.8%","  5,000 ","130%","SNAP","185%","Other Nutrition Program","66.3%","16.2%","17.6%","27.6%","  1,680 ","80%","21%","$2.82","$2,527,000.00"
"13295","GA","Walker County, Georgia","13.2%","  8,990 ","130%","SNAP","185%","Other Nutrition Program","70.6%","14.3%","15.1%","24.8%","  3,870 ","80%","20%","$2.98","$4,807,000.00"
"13297","GA","Walton County, Georgia","12.7%","  10,910 ","130%","SNAP","185%","Other Nutrition Program","56.1%","16.6%","27.3%","22.6%","  5,070 ","71%","29%","$3.06","$5,993,000.00"
"13299","GA","Ware County, Georgia","19.6%","  7,000 ","130%","SNAP","185%","Other Nutrition Program","66.6%","15.0%","18.4%","29.6%","  2,490 ","79%","21%","$2.73","$3,427,000.00"
"13301","GA","Warren County, Georgia","23.5%","  1,310 ","130%","SNAP","185%","Other Nutrition Program","57.8%","21.2%","20.9%","27.9%","  340 ","63%","37%","$2.79","$656,000.00"
"13303","GA","Washington County, Georgia","21.5%","  4,470 ","130%","SNAP","185%","Other Nutrition Program","57.1%","18.0%","25.0%","25.6%","  1,220 ","73%","27%","$2.82","$2,260,000.00"
"13305","GA","Wayne County, Georgia","16.0%","  4,820 ","130%","SNAP","185%","Other Nutrition Program","61.3%","19.7%","18.9%","24.3%","  1,800 ","76%","24%","$2.83","$2,443,000.00"
"13307","GA","Webster County, Georgia","20.8%","  570 ","130%","SNAP","185%","Other Nutrition Program","59.2%","23.2%","17.6%","25.7%","  170 ","84%","16%","$2.94","$300,000.00"
"13309","GA","Wheeler County, Georgia","23.2%","  1,850 ","130%","SNAP","185%","Other Nutrition Program","38.4%","14.1%","47.5%","31.9%","  370 ","96%","4%","$2.83","$940,000.00"
"13311","GA","White County, Georgia","12.4%","  3,450 ","130%","SNAP","185%","Other Nutrition Program","69.8%","13.2%","17.0%","27.8%","  1,670 ","77%","23%","$2.91","$1,799,000.00"
"13313","GA","Whitfield County, Georgia","8.3%","  8,570 ","130%","SNAP","185%","Other Nutrition Program","98.2%","1.8%","0.0%","22.8%","  6,440 ","91%","9%","$2.73","$4,193,000.00"
"13315","GA","Wilcox County, Georgia","19.4%","  1,740 ","130%","SNAP","185%","Other Nutrition Program","53.3%","19.7%","27.0%","25.5%","  440 ","92%","9%","$2.92","$912,000.00"
"13317","GA","Wilkes County, Georgia","20.9%","  2,080 ","130%","SNAP","185%","Other Nutrition Program","63.8%","21.4%","14.8%","30.2%","  660 ","79%","21%","$3.08","$1,148,000.00"
"13319","GA","Wilkinson County, Georgia","17.4%","  1,630 ","130%","SNAP","185%","Other Nutrition Program","56.9%","26.5%","16.6%","24.6%","  540 ","88%","12%","$2.84","$831,000.00"
"13321","GA","Worth County, Georgia","17.0%","  3,590 ","130%","SNAP","185%","Other Nutrition Program","66.4%","19.9%","13.7%","25.3%","  1,240 ","84%","16%","$2.86","$1,842,000.00"
"15001","HI","Hawaii County, Hawaii","13.4%","  25,690 ","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","73.1%","","26.9%","23.7%","  10,110 ","61%","39%","$3.33","$15,343,000.00"
"15003","HI","Honolulu County, Hawaii","12.3%","  120,660 ","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","54.5%","","45.5%","18.6%","  39,830 ","45%","55%","$3.33","$72,068,000.00"
"15005","HI","Kalawao County, Hawaii","20.3%","  20 ","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","37.4%","","62.6%","24.4%","0","0%","100%","$3.37","$12,000.00"
"15007","HI","Kauai County, Hawaii","11.7%","  8,190 ","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","66.1%","","33.9%","19.1%","  2,970 ","50%","51%","$3.28","$4,821,000.00"
"15009","HI","Maui County, Hawaii","12.0%","  19,310 ","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","64.3%","","35.7%","19.4%","  7,060 ","54%","46%","$3.62","$12,548,000.00"
"16001","ID","Ada County, Idaho","13.4%","  56,060 ","130%","SNAP","185%","Other Nutrition Program","41.4%","20.4%","38.2%","15.6%","  16,530 ","57%","43%","$3.18","$31,918,000.00"
"16003","ID","Adams County, Idaho","15.7%","  610 ","130%","SNAP","185%","Other Nutrition Program","55.5%","35.4%","9.1%","20.1%","  150 ","100%","0%","$3.48","$381,000.00"
"16005","ID","Bannock County, Idaho","15.4%","  12,840 ","130%","SNAP","185%","Other Nutrition Program","54.1%","19.4%","26.5%","18.4%","  4,160 ","70%","30%","$2.90","$6,668,000.00"
"16007","ID","Bear Lake County, Idaho","13.4%","  800 ","130%","SNAP","185%","Other Nutrition Program","43.8%","19.8%","36.4%","18.9%","  300 ","65%","35%","$2.90","$416,000.00"
"16009","ID","Benewah County, Idaho","16.6%","  1,510 ","130%","SNAP","185%","Other Nutrition Program","54.2%","26.6%","19.2%","21.2%","  430 ","86%","14%","$3.13","$848,000.00"
"16011","ID","Bingham County, Idaho","11.3%","  5,120 ","130%","SNAP","185%","Other Nutrition Program","52.4%","31.3%","16.2%","16.7%","  2,420 ","75%","25%","$2.94","$2,698,000.00"
"16013","ID","Blaine County, Idaho","10.3%","  2,200 ","130%","SNAP","185%","Other Nutrition Program","45.4%","22.9%","31.7%","15.9%","  790 ","59%","42%","$4.28","$1,687,000.00"
"16015","ID","Boise County, Idaho","14.6%","  1,010 ","130%","SNAP","185%","Other Nutrition Program","48.9%","20.8%","30.3%","19.2%","  250 ","70%","30%","$3.05","$553,000.00"
"16017","ID","Bonner County, Idaho","15.9%","  6,530 ","130%","SNAP","185%","Other Nutrition Program","46.6%","23.4%","30.0%","19.9%","  1,690 ","66%","34%","$3.27","$3,828,000.00"
"16019","ID","Bonneville County, Idaho","12.2%","  13,140 ","130%","SNAP","185%","Other Nutrition Program","50.7%","25.7%","23.6%","16.0%","  5,390 ","71%","29%","$2.83","$6,666,000.00"
"16021","ID","Boundary County, Idaho","15.3%","  1,680 ","130%","SNAP","185%","Other Nutrition Program","53.5%","27.2%","19.2%","18.7%","  480 ","88%","12%","$3.40","$1,023,000.00"
"16023","ID","Butte County, Idaho","14.5%","  380 ","130%","SNAP","185%","Other Nutrition Program","55.7%","35.0%","9.3%","19.7%","  130 ","91%","9%","$2.89","$197,000.00"
"16025","ID","Camas County, Idaho","15.2%","  160 ","130%","SNAP","185%","Other Nutrition Program","65.9%","21.7%","12.3%","20.5%","  50 ","79%","21%","$2.92","$84,000.00"
"16027","ID","Canyon County, Idaho","12.5%","  24,820 ","130%","SNAP","185%","Other Nutrition Program","63.3%","25.4%","11.3%","18.5%","  11,150 ","75%","25%","$2.81","$12,502,000.00"
"16029","ID","Caribou County, Idaho","11.6%","  790 ","130%","SNAP","185%","Other Nutrition Program","41.7%","25.4%","32.9%","13.9%","  270 ","66%","34%","$2.86","$406,000.00"
"16031","ID","Cassia County, Idaho","10.2%","  2,390 ","130%","SNAP","185%","Other Nutrition Program","61.7%","30.7%","7.6%","16.1%","  1,230 ","74%","26%","$3.09","$1,323,000.00"
"16033","ID","Clark County, Idaho","9.0%","  80 ","130%","SNAP","185%","Other Nutrition Program","100.0%","0.0%","0.0%","16.0%","  40 ","84%","16%","$2.98","$43,000.00"
"16035","ID","Clearwater County, Idaho","15.7%","  1,350 ","130%","SNAP","185%","Other Nutrition Program","40.6%","25.0%","34.4%","21.2%","  280 ","79%","21%","$3.12","$756,000.00"
"16037","ID","Custer County, Idaho","16.5%","  700 ","130%","SNAP","185%","Other Nutrition Program","50.2%","11.8%","38.0%","19.7%","  150 ","58%","42%","$3.41","$428,000.00"
"16039","ID","Elmore County, Idaho","14.5%","  3,800 ","130%","SNAP","185%","Other Nutrition Program","54.1%","21.7%","24.3%","18.6%","  1,300 ","64%","36%","$3.05","$2,079,000.00"
"16041","ID","Franklin County, Idaho","12.3%","  1,590 ","130%","SNAP","185%","Other Nutrition Program","52.7%","29.2%","18.1%","17.2%","  760 ","80%","20%","$2.91","$829,000.00"
"16043","ID","Fremont County, Idaho","10.6%","  1,380 ","130%","SNAP","185%","Other Nutrition Program","49.3%","30.4%","20.2%","15.0%","  560 ","76%","24%","$3.09","$765,000.00"
"16045","ID","Gem County, Idaho","15.3%","  2,550 ","130%","SNAP","185%","Other Nutrition Program","53.4%","24.3%","22.3%","20.3%","  770 ","73%","27%","$3.04","$1,391,000.00"
"16047","ID","Gooding County, Idaho","11.0%","  1,670 ","130%","SNAP","185%","Other Nutrition Program","71.9%","28.1%","0.0%","18.0%","  790 ","78%","22%","$2.87","$860,000.00"
"16049","ID","Idaho County, Idaho","15.3%","  2,500 ","130%","SNAP","185%","Other Nutrition Program","46.8%","30.6%","22.7%","19.8%","  660 ","78%","22%","$3.18","$1,426,000.00"
"16051","ID","Jefferson County, Idaho","11.4%","  3,070 ","130%","SNAP","185%","Other Nutrition Program","52.3%","29.0%","18.7%","16.4%","  1,540 ","80%","20%","$3.22","$1,774,000.00"
"16053","ID","Jerome County, Idaho","9.8%","  2,210 ","130%","SNAP","185%","Other Nutrition Program","70.9%","29.1%","0.0%","15.5%","  1,100 ","77%","23%","$2.89","$1,145,000.00"
"16055","ID","Kootenai County, Idaho","14.7%","  21,320 ","130%","SNAP","185%","Other Nutrition Program","43.3%","25.0%","31.7%","18.1%","  6,270 ","69%","31%","$3.08","$11,774,000.00"
"16057","ID","Latah County, Idaho","17.8%","  6,820 ","130%","SNAP","185%","Other Nutrition Program","50.6%","17.8%","31.7%","17.4%","  1,240 ","70%","30%","$3.02","$3,692,000.00"
"16059","ID","Lemhi County, Idaho","17.4%","  1,360 ","130%","SNAP","185%","Other Nutrition Program","51.3%","24.9%","23.8%","23.0%","  330 ","69%","31%","$3.53","$861,000.00"
"16061","ID","Lewis County, Idaho","16.2%","  620 ","130%","SNAP","185%","Other Nutrition Program","51.7%","27.7%","20.6%","20.4%","  170 ","86%","14%","$3.06","$340,000.00"
"16063","ID","Lincoln County, Idaho","9.6%","  500 ","130%","SNAP","185%","Other Nutrition Program","68.8%","31.2%","0.0%","15.7%","  260 ","83%","17%","$2.89","$259,000.00"
"16065","ID","Madison County, Idaho","20.9%","  7,920 ","130%","SNAP","185%","Other Nutrition Program","72.5%","15.4%","12.2%","19.3%","  1,980 ","70%","30%","$3.42","$4,862,000.00"
"16067","ID","Minidoka County, Idaho","9.0%","  1,830 ","130%","SNAP","185%","Other Nutrition Program","67.0%","27.1%","5.9%","17.1%","  980 ","73%","28%","$2.76","$906,000.00"
"16069","ID","Nez Perce County, Idaho","14.0%","  5,580 ","130%","SNAP","185%","Other Nutrition Program","44.4%","22.2%","33.3%","17.0%","  1,450 ","72%","28%","$2.99","$2,994,000.00"
"16071","ID","Oneida County, Idaho","13.6%","  580 ","130%","SNAP","185%","Other Nutrition Program","52.5%","14.3%","33.2%","18.5%","  220 ","69%","31%","$2.89","$301,000.00"
"16073","ID","Owyhee County, Idaho","14.2%","  1,610 ","130%","SNAP","185%","Other Nutrition Program","73.9%","15.3%","10.8%","21.6%","  670 ","75%","25%","$3.05","$880,000.00"
"16075","ID","Payette County, Idaho","13.1%","  2,970 ","130%","SNAP","185%","Other Nutrition Program","55.5%","19.5%","25.1%","18.1%","  1,100 ","68%","32%","$3.51","$1,870,000.00"
"16077","ID","Power County, Idaho","9.3%","  720 ","130%","SNAP","185%","Other Nutrition Program","65.4%","34.6%","0.0%","15.8%","  380 ","91%","9%","$2.89","$373,000.00"
